title,rent_fee,acreage,detail_address,description,link
"Cho thuê phòng trọ tại tại Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng",2.8,20 m²2,"Số 40/39 ngõ Mai Hương Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội -Xem bản đồ","Phòng khép kín, sạch sẽ, thoáng mát, có điều hòa, bình nóng lạnh, internet, có bếp nấu ăn, sân phơi quần áo, nhà để xe, an ninh tốt, không chung chủ... - Gần trường ĐH Bách Khoa, Kình tế Quốc Dân, Xây Dựng và gần bệnh viện Bạch Mai, Thanh Nhàn BV tai mũi họng TW.... - Gần chợ Bách Khoa, chợ Mơ, Trại găng TTTM Vincom... Thông tin liên hệ:",https://phongtro123.com/phong-tro-khep-kin-tai-pho-bach-mai-pr591573.html
"Cho thuê phòng ở An Dương Vương - phòng đẹp, giá ưu đãi",3.5,25 m²2,"An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội -Xem bản đồ","Phòng 25 m2, trong tòa nhà 7 tầng. Đầy đủ thiết bị hiện đại,mới, Giường, đệm, tủ, điều hòa, nóng lạnh, bếp, kệ bếp Thang máy , sân phơi, máy giặt, hầm để xe. Đặc biệt không gian thoáng, view hồ, view sông hồng rất đẹp. Tiện cho làm việc và học tập tại khu vực Q. Tây Hồ. Võ Chí Công, Ciputra, Xuân Đỉnh. Các trường học Tài Chính, HV HC, .... Vui lòng liên hệ để xem nhà. ưu đãi đặt cọc sớm.",https://phongtro123.com/cho-thue-phong-o-an-duong-vuong-phong-dep-gia-uu-dai-pr658787.html
Chủ tòa nhà cho thuê tại An Dương Vương - giảm giá 50% cho khách thuê tháng đầu tiên,3,25 m²2,"An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội -Xem bản đồ","Tòa nhà 7 tầng, có thang máy, có hầm để xe Phòng 25m2, view hồ, Đủ đồ"" Điều hòa, tủ, giường, bếp Phòng đẹp , hiện đại Điện 3,5K/ số. Nước 100k/ người. Giá 3,5 triệu. Phù hợp với các bạn đi làm ở Hoàng Quốc Việt, Cầu Giấy, Tây Hồ Các bạn SV trường tài chính, học viên hành chính , trường mỏ. Đi lại tiện lợi, xe bus, xe máy Note: Phòng khép kín cho thuê tại An Dương Vương - giảm giá 50% cho khách thuê tháng đầu tiên",https://phongtro123.com/phong-khep-kin-cho-thue-tai-an-duong-vuong-pr650349.html
"Cho Thuê Phòng Trọ, Bát Tràng, Học Viện Nông Nghiệp",2.5,22 m²2,"72, ngõ 8 Đường Bát Khối, Xã Đông Dư, Huyện Gia Lâm, Hà Nội -Xem bản đồ","Cho Thuê Phòng Trọ 20-21m2, đầy đủ nội thất, máy điều hoà, bình nước nóng, xe ô tô vào tận nhà.Điện nước tính theo đồng hồ. Camera an ninh, internet FPT đường truyền tốc độ cao. Chiếu sáng đường đi và sân bằng đèn năng lượng mặt trời tiết kiệm chi phí. Có chỗ để ô tô xe máy rộng rãi. Chỗ phơi đồ riêng biệt, bơm nước tăng áp tự động cho sen tắm. Nhà trọ gần Học viện Nông Nghiệp 2Km, cách Bát Tràng 5 phút di chuyển, cách Cầu Thanh Trì 800m, đi Vinhome Ocean Park chỉ 8 phút, cách Ecopark 1,5 Km. Xung quanh đầy đủ dịch vụ ăn uống, siêu thị điện máy ( dốc Đa Tốn 800m), cây xăng 800m, trường cấp 3 ( 800m), chợ Bát Tràng (800m)… Từ nhà trọ đi lại tiếp cận dễ dàng các cao tốc Hà Nội - Hưng Yên, Hà Nội- Hải Phòng, Hà Nội - Lạng Sơn, Hà Nội - Thái Nguyên, Pháp Vân- Cầu Giẽ, Vành Đai 3. Không gian yên tĩnh, nhiều cây xanh, phù hợp với sinh viên và người lao động cần nghỉ ngơi sau ngày học tập , làm việc vất vả.",https://phongtro123.com/cho-thue-phong-tro-dong-du-ha-gan-bat-trang-va-vinhome-ocean-park-1-pr673544.html
Còn tầng 2 trong nhà nguyên căn 5 tầng.,3,30 m²2,"Phố Xốm, Phường Phú Lương, Quận Hà Đông, Hà Nội -Xem bản đồ","Còn tầng 2 trong nhà nguyên căn 5 tầng. Đ/c: Tổ 12 xóm Đoàn kết Trinh Lương, Phố Xốm, Phường Phú Lương, Quận Hà Đông, Hà Nội Đủ đồ: tủ lạnh, đh, nl, máy giặt, ban công Điện. 3k2. Nước: 10k/khối Wifi: 100k/phòng Rác: 10k/người Liên hệ: 0971603841",https://phongtro123.com/con-tang-2-trong-nha-nguyen-can-5-tang-pr673472.html
"Cho thuê phòng tại Tương Mai- Hoàng Mai , Nguyễn An Ninh.",3.8,30 m²2,"57 ngõ 35 Đường Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội -Xem bản đồ","Cho thuê căn hộ trong chung cư mini tại Số 57 Ngõ 35 Phố Nguyễn An Ninh - Tương Mai - Hoàng Mai – Hà Nội. (* Chính chủ) - Phòng mới đẹp thiết kế hài hòa đầy đủ Vị trí trung tâm gần Bách-Kinh-Xây. - Còn phòng 25 - 30m2 . Full đồ cơ bản (điều hòa,Nóng lạnh, Giường, Tủ , Máy giặt, nội thất đẹp chất lượng cao .Có kệ tủ bếp nấu ăn. Nhà vệ sinh khép kín xịn, tiện nghi. công tơ điện nước riêng. Camera 24/24 yên tâm an ninh. - Để xe tầng 1 tiện lợi miễn phí, Ô tô đỗ đón tận cửa.. - Giá: 3.8 - 4,2tr tr/tháng ( thanh toán 2 tháng một lần, cọc 1 tháng). - Địa Chỉ: Số 57 Ngõ 35 Phố Nguyễn An Ninh – Hà Nội. Liên hệ gọi điện hẹn trước thời gian xem phòng vào khoảng 11h-14h sáng và 17h-19h chiều, ngoài giờ đó thì gọi điện lhe trước : 0934.672.806",https://phongtro123.com/cho-thue-phong-tai-nguyen-an-ninh-gan-kt-xd-bk-pr604749.html
"CHO THUÊ PHÒNG TRỌ GIÁ RẺ KHU ĐỊNH CÔNG, HOÀNG MAI, HÀ NỘI",1.8,20 m²2,"Số 1, ngõ 106, Trịnh Đình Cửu, Phường Định Công, Quận Hoàng Mai, Hà Nội -Xem bản đồ","CHO THUÊ PHÒNG TRỌ KHU ĐỊNH CÔNG, HOÀNG MAI – PHÒNG ĐẸP, GIÁ TỐT, CHO THUÊ GẤP Cơ hội sở hữu phòng trọ siêu đẹp với giá siêu rẻ! Diện tích: 20m² (chưa kể gác xép). Giá thuê: Chỉ 1.800.000 VNĐ/tháng. Vị trí đắc địa: Tọa lạc tại Số 1, ngõ 106, phố Trịnh Đình Cửu, Khu đô thị mới Định Công, Hoàng Mai (cách đường lớn chỉ 7m). Gần chợ, bể bơi, công viên xanh, siêu thuận tiện cho sinh hoạt hằng ngày. Cách các trường ĐH lớn như ĐH Y Hà Nội, Học viện Ngân hàng, ĐH Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân chỉ 2km (~10 phút đi xe đạp). Lý do bạn không thể bỏ qua phòng trọ này: Không gian sống lý tưởng: Phòng rộng rãi, sạch sẽ, thoáng mát, giúp bạn cảm thấy thư giãn sau một ngày học tập, làm việc. Tiện nghi đầy đủ: Nhà công trình phụ khép kín, nước sạch từ nhà máy Viwaco, wifi mạnh. Sân để xe rộng rãi, an ninh tốt, không chung chủ: Tự do giờ giấc, không gian riêng tư tuyệt đối. Chi phí cực hợp lý: Chỉ 1.800.000 VNĐ/tháng, vừa tiết kiệm, vừa tiện nghi! Liên hệ ngay để không bỏ lỡ: Chị Hương – 0979064260 Lưu ý: Khi đến xem phòng, vui lòng liên hệ trước 10 phút để được hỗ trợ nhanh nhất! Chỉ còn duy nhất 1 phòng, nhanh tay để không bỏ lỡ cơ hội này!",https://phongtro123.com/cho-thue-phong-tro-gia-re-khu-dinh-cong-hoang-mai-ha-noi-pr673690.html
"Nhà trọ giá rẻ tại Tổ 6, Yên Nghĩa, Hà Đông",1.2,15 m²2,"Phường Yên Nghĩa, Quận Hà Đông, Hà Nội -Xem bản đồ","Phòng trọ mới khép kín, biệt lập, có lối đi riêng. Địa chỉ: Ngõ 86, Đường Nghĩa Lộ, Tổ 6, Phường Yên Nghĩa, Quận Hà Đông, TP. Hà Nội. Phía sau bên xe Yên Nghĩa, cách ngã ba chợ 100m. Diện tích ~15m2, điều hòa, nhà vệ sinh khép kín, có chỗ để xe, phơi quần áo, mạng internet.. Điện, nước có đồng hồ riêng. Điện 4k/ kw, nước 15k/m3, mạng 80k/tháng. Không gian riêng tư, gần chợ dân sinh, an ninh trật tự đảm bảo... Tiền phòng 1200k /tháng, thanh toán đầu tháng. Liên hệ: A Minh (sn92); SDT: 0981304792.",https://phongtro123.com/cho-thue-nha-tro-gia-re-tai-yen-nghia-ha-dong-pr305262.html
"Phòng trọ khép kín dt 35m2 tại Số 30 ngõ 51/2 Lãng Yên, Phường Thanh Lương, Hai Bà Trưng",4,35 m²2,"Số 30 ngõ 51/2 Đường Lãng Yên, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội -Xem bản đồ","Cho thuê phòng trọ tại Số 30 ngõ 51/2  Đường Lãng Yên, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội Phòng trọ 35m2 khép kín, mới khóa cửa van tay đi lại tự do sạch sẽ, rộng rãi Có đầy đủ tiện nghi điều hòa bếp ngoài phòng Có ban Công phơi quần áo rộng an ninh tốt Giá thuê: 4 triệu/tháng không cọc không phí dịch vụ",https://phongtro123.com/phong-tro-khep-kin-dt-35m2-co-cho-de-xe-pr596542.html
"Cho thuê phòng tại 108 Nguyễn Lân, quận Thanh Xuân HN",5,25 m²2,"108 Đường Nguyễn Lân, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội -Xem bản đồ","Cho thuê phòng tại 108 Nguyễn Lân, quận Thanh Xuân HN Nội thất đầy đủ: máy giặt, tủ lạnh có ban công không chung chủ, giờ giấc tự do. Giá thuê: 5tr/tháng Liên hệ: 0385870929",https://phongtro123.com/cho-thue-phong-tai-108-nguyen-lan-pr673660.html
